INPUT-#Scan#	INPUT-SpectrumID	INPUT-Compound_Name	INPUT-InChIKey-Planar	Tag_Status1	Action1	Add_InCHIKey-Planar	Cannot_Add_InChIKey-Planar	Tag_Status2	Action2	Add_Tag1	Add_Tag2	Add_Tag3	Contribute-NCBITaxonomy1	Contribute-NCBITaxonomy2	Contribute-NCBITaxonomy3	Contribute-UBERONTag1	Contribute-UBERONTag2	Contribute-UBERONTag3	Contribute-LifestyleTag1	Contribute-LifestyleTag2	Contribute-LifestyleTag3	Current_Tags	Current_NCBITaxonomy	Current_UBERON	Current_Lifestyle
80678	CCMSLIB00003137311	Spectral Match to DL-Phenylalanine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	COLNVLDHVKWLRT		Tags Present	Check Current Tags and Add if Incomplete	food												bacterial|human|mice	9606|Homo sapiens:10088|Mus		
171649	CCMSLIB00003137359	Spectral Match to Daidzin from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	KYQZWONCHDNPDP		Tags Present	Check Current Tags and Add if Incomplete													food			food consumption_soy
771	CCMSLIB00003136243	Spectral Match to L-Tyrosine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	OUYCCCASQSFEME		Tags Present	Check Current Tags and Add if Incomplete													human			
52259	CCMSLIB00003140086	Spectral Match to Capsaicin from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	YKPUWZUDDOIDPM		Tags Present	Check Current Tags and Add if Incomplete													food|naturalproduct|plant|drug			food consumption_flavouring|food consumption_spices|pain
186831	CCMSLIB00003236751	Ononin	MGJLSBDCWOSMHL	Tags Present	Check Current Tags and Add if Incomplete																	food			
218716	CCMSLIB00003137480	Spectral Match to 6''-O-Acetylgenistin from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	DXWGBJJLEDQBKS		Tags Present	Check Current Tags and Add if Incomplete													food			food consumption_soy
340268	CCMSLIB00003585029	1,2-dioleoyl-sn-glycero-3-phosphatidylcholine	SNKAWJBJQDLSFF	Tags Missing	Add Tags																				
28061	CCMSLIB00003139562	Spectral Match to Phytol from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	BOTWFXYSPFMFNR		Tags Missing	Add Tags																
211861	CCMSLIB00003134562	Spectral Match to Delphinidin 3-O-glucoside cation from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	XENHPQQLDPAYIJ		Tags Present	Check Current Tags and Add if Incomplete													food			
331266	CCMSLIB00003268296	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
187599	CCMSLIB00003136357	Spectral Match to Genistin from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	ZCOLJUOHXJRHDI		Tags Present	Check Current Tags and Add if Incomplete													food			food consumption_soy
331262	CCMSLIB00003268296	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
695	CCMSLIB00003460160	Caffeic acid	QAIPRVGONGVQAS	Tags Present	Check Current Tags and Add if Incomplete																	food			
247578	CCMSLIB00004696347	phellopterin	UFCLZKMFXSILNL	Tags Present	Check Current Tags and Add if Incomplete																	food			
240739	CCMSLIB00003137390	Spectral Match to 6''-O-Malonyldaidzin from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	MTXMHWSVSZKYBT		Tags Present	Check Current Tags and Add if Incomplete													food			food consumption_soy
5283	CCMSLIB00003198786	N-Acetyl-L-tyrosine	CAHKINHBCWCHCF	Tags Missing	Add Tags																				
211755	CCMSLIB00003134562	Spectral Match to Delphinidin 3-O-glucoside cation from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	XENHPQQLDPAYIJ		Tags Present	Check Current Tags and Add if Incomplete													food			
331251	CCMSLIB00003268296	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
54381	CCMSLIB00003137745	Spectral Match to Dihydrocapsaicin from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	XJQPQKLURWNAAH		Tags Present	Check Current Tags and Add if Incomplete													food			food consumption_spices
200481	CCMSLIB00003134970	Spectral Match to Cyanidin 3-glucoside cation from NIST14	RKWHWFONKJEUEF	Tags Present	Check Current Tags and Add if Incomplete																	food			
331783	CCMSLIB00003268411	1-Oleoyl-2-palmitoyl-sn-glycero-3-phosphocholine	RRVPPYNAZJRZFR	Tags Missing	Add Tags																				
331434	CCMSLIB00003268296	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
199742	CCMSLIB00003137694	Spectral Match to Glycitin from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	OZBAVEKZGSOMOJ		Tags Present	Check Current Tags and Add if Incomplete													food			
331435	CCMSLIB00003268296	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
338331	CCMSLIB00003268175	1,2-Dilinoleoyl-sn-glycero-3-phosphocholine	FVXDQWZBHIXIEJ	Tags Present	Check Current Tags and Add if Incomplete																	naturalproduct			
331815	CCMSLIB00003268296	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
331237	CCMSLIB00003268296	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
209245	CCMSLIB00000848160	NCGC00164319-09![(2R,3R)-5,7-dihydroxy-2-(3,4,5-trihydroxyphenyl)-3,4-dihydro-2H-chromen-3-yl] 3,4,5-trihydroxybenzoate	WMBWREPUVVBILR	Tags Present	Check Current Tags and Add if Incomplete																	food			food consumption_coffee|food consumption_tea
331605	CCMSLIB00003268296	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
340915	CCMSLIB00003585029	1,2-dioleoyl-sn-glycero-3-phosphatidylcholine	SNKAWJBJQDLSFF	Tags Missing	Add Tags																				
26730	CCMSLIB00003134844	Spectral Match to Tyr-Pro from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	VNYDHJARLHNEGA		Tags Missing	Add Tags																
301236	CCMSLIB00003309717	1,2-Ditetradecanoyl-sn-glycero-3-phosphocholine	CITHEXJVPOWHKC	Tags Missing	Add Tags																				
331458	CCMSLIB00003268296	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
209274	CCMSLIB00003236179	6''-O-Acetyldaidzin	ZMOZJTDOTOZVRT	Tags Present	Check Current Tags and Add if Incomplete																	food			food consumption_soy
338959	CCMSLIB00003268175	1,2-Dilinoleoyl-sn-glycero-3-phosphocholine	FVXDQWZBHIXIEJ	Tags Present	Check Current Tags and Add if Incomplete																	naturalproduct			
104930	CCMSLIB00003196668	Trp-Phe	IMMPMHKLUUZKAZ	Tags Missing	Add Tags																				
340712	CCMSLIB00003585029	1,2-dioleoyl-sn-glycero-3-phosphatidylcholine	SNKAWJBJQDLSFF	Tags Missing	Add Tags																				
340467	CCMSLIB00003585029	1,2-dioleoyl-sn-glycero-3-phosphatidylcholine	SNKAWJBJQDLSFF	Tags Missing	Add Tags																				
340505	CCMSLIB00003585029	1,2-dioleoyl-sn-glycero-3-phosphatidylcholine	SNKAWJBJQDLSFF	Tags Missing	Add Tags																				
69625	CCMSLIB00003194589	Sucrose	CZMRCDWAGMRECN	Tags Present	Check Current Tags and Add if Incomplete																	food			
331565	CCMSLIB00003268296	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
331444	CCMSLIB00003268296	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
22660	CCMSLIB00000566778	Piperyline	GQIJYUMTOUBHSH	Tags Present	Check Current Tags and Add if Incomplete																	food			
331436	CCMSLIB00003268296	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
340821	CCMSLIB00003585029	1,2-dioleoyl-sn-glycero-3-phosphatidylcholine	SNKAWJBJQDLSFF	Tags Missing	Add Tags																				
331298	CCMSLIB00003268296	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
331586	CCMSLIB00003268411	1-Oleoyl-2-palmitoyl-sn-glycero-3-phosphocholine	RRVPPYNAZJRZFR	Tags Missing	Add Tags																				
340545	CCMSLIB00003585029	1,2-dioleoyl-sn-glycero-3-phosphatidylcholine	SNKAWJBJQDLSFF	Tags Missing	Add Tags																				
337932	CCMSLIB00003376313	Palmitoyleicosapentaenoyl phosphatidylcholine	KLTHQSWIRFFBRI	Tags Missing	Add Tags																				
211889	CCMSLIB00004684184	Spiraeoside	OIUBYZLTFSLSBY	Tags Missing	Add Tags																				
2200	CCMSLIB00003545474	Piperlonguminine	WHAAPCGHVWVUEX	Tags Present	Check Current Tags and Add if Incomplete																	food			
331746	CCMSLIB00003268296	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
338320	CCMSLIB00003268177	1,2-Dilinoleoyl-sn-glycero-3-phosphocholine	FVXDQWZBHIXIEJ	Tags Present	Check Current Tags and Add if Incomplete																	naturalproduct			
338511	CCMSLIB00003268317	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
331491	CCMSLIB00003268296	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
231989	CCMSLIB00003137888	Spectral Match to Malvidin 3-O-galactoside cation from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	PXUQTDZNOHRWLI		Tags Missing	Add Tags	food_additive															
331501	CCMSLIB00003268411	1-Oleoyl-2-palmitoyl-sn-glycero-3-phosphocholine	RRVPPYNAZJRZFR	Tags Missing	Add Tags																				
1561	CCMSLIB00003656326	Carbendazim	TWFZGCMQGLPBSX	Tags Present	Check Current Tags and Add if Incomplete																	biocide_antimicrobial|environmental			biocide exposure
338561	CCMSLIB00003268177	1,2-Dilinoleoyl-sn-glycero-3-phosphocholine	FVXDQWZBHIXIEJ	Tags Present	Check Current Tags and Add if Incomplete																	naturalproduct			
331727	CCMSLIB00003268296	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
36939	CCMSLIB00000213705	Massbank:FIO00070 (-)-Epicatechin	PFTAWBLQPZVEMU	Tags Present	Check Current Tags and Add if Incomplete																	food			food consumption_cocoa|food consumption_pome fruits|food consumption_tea
265582	CCMSLIB00004708092	7-[3-[(2R,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3-(4-methoxyphenyl)chromen-4-one	TUUBGLDJKKCMRH	Tags Missing	Add Tags																				
338595	CCMSLIB00003268175	1,2-Dilinoleoyl-sn-glycero-3-phosphocholine	FVXDQWZBHIXIEJ	Tags Present	Check Current Tags and Add if Incomplete																	naturalproduct			
331832	CCMSLIB00003268411	1-Oleoyl-2-palmitoyl-sn-glycero-3-phosphocholine	RRVPPYNAZJRZFR	Tags Missing	Add Tags																				
107190	CCMSLIB00003139730	Spectral Match to Chlorogenic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	CWVRJTMFETXNAD		Tags Present	Check Current Tags and Add if Incomplete													food			food consumption_coffee|food consumption_tea
338531	CCMSLIB00003268315	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
300071	CCMSLIB00003268089	1,2-Di-(9Z-tetradecenoyl)-sn-glycero-3-phosphocholine	AVCZHZMYOZARRJ	Tags Missing	Add Tags																				
331728	CCMSLIB00003268296	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
369536	CCMSLIB00004679268	Putisolvin Derivative [Putative Val -&gt; Leu]	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2		No InChIKey-Planar			food	bacterial_produced														
340482	CCMSLIB00003585029	1,2-dioleoyl-sn-glycero-3-phosphatidylcholine	SNKAWJBJQDLSFF	Tags Missing	Add Tags																				
331636	CCMSLIB00003268296	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
331955	CCMSLIB00003268296	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
331446	CCMSLIB00003136135	Spectral Match to 1-Hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	WTJKGGKOPKCXLL		Tags Missing	Add Tags																
332192	CCMSLIB00003136135	Spectral Match to 1-Hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	WTJKGGKOPKCXLL		Tags Missing	Add Tags																
365179	CCMSLIB00005721177	NCGC00385836-01!3-[[(2R,3S,4S,5R,6S)-6-[2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4-oxochromen-3-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methoxy]-3-oxopropanoic acid [IIN-based on: CCMSLIB00000846043]	NBQPHANHNTWDML	Tags Missing	Add Tags																				
331884	CCMSLIB00003268296	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
338742	CCMSLIB00003138804	Spectral Match to 1,2-Dilinoleoyl-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	FVXDQWZBHIXIEJ		Tags Present	Check Current Tags and Add if Incomplete													naturalproduct			
360756	CCMSLIB00005465666	"2-((R)-4-((3R,5S,7S,8R,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanamido)ethane-1-sulfonic acid"	BHTRKEVKTKCXOH	Tags Present	Check Current Tags and Add if Incomplete																	bacterial|bacterial_modified			
340546	CCMSLIB00003585029	1,2-dioleoyl-sn-glycero-3-phosphatidylcholine	SNKAWJBJQDLSFF	Tags Missing	Add Tags																				
112854	CCMSLIB00003134836	Spectral Match to Theobromine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	YAPQBXQYLJRXSA		Tags Present	Check Current Tags and Add if Incomplete													food|food_additive			
331791	CCMSLIB00003268296	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
331602	CCMSLIB00003268296	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
338830	CCMSLIB00003268315	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
338981	CCMSLIB00003268315	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
332056	CCMSLIB00003268411	1-Oleoyl-2-palmitoyl-sn-glycero-3-phosphocholine	RRVPPYNAZJRZFR	Tags Missing	Add Tags																				
200520	CCMSLIB00003136634	Spectral Match to Astragalin from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	JPUKWEQWGBDDQB		Tags Present	Check Current Tags and Add if Incomplete													food			
331465	CCMSLIB00003268411	1-Oleoyl-2-palmitoyl-sn-glycero-3-phosphocholine	RRVPPYNAZJRZFR	Tags Missing	Add Tags																				
331542	CCMSLIB00003268296	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
338562	CCMSLIB00003268177	1,2-Dilinoleoyl-sn-glycero-3-phosphocholine	FVXDQWZBHIXIEJ	Tags Present	Check Current Tags and Add if Incomplete																	naturalproduct			
338558	CCMSLIB00003136628	Spectral Match to 1-Hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	WTJKGGKOPKCXLL		Tags Missing	Add Tags																
331397	CCMSLIB00003268296	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
39512	CCMSLIB00003737070	Phe-Glu	JXWLMUIXUXLIJR	Tags Missing	Add Tags																				
340889	CCMSLIB00003585029	1,2-dioleoyl-sn-glycero-3-phosphatidylcholine	SNKAWJBJQDLSFF	Tags Missing	Add Tags																				
331627	CCMSLIB00003268296	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
340612	CCMSLIB00003585029	1,2-dioleoyl-sn-glycero-3-phosphatidylcholine	SNKAWJBJQDLSFF	Tags Missing	Add Tags																				
2943	CCMSLIB00003406292	Ethyl trans-caffeate	WDKYDMULARNCIS	Tags Present	Check Current Tags and Add if Incomplete																	food			
338984	CCMSLIB00003136628	Spectral Match to 1-Hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	WTJKGGKOPKCXLL		Tags Missing	Add Tags																
356295	CCMSLIB00000574546	Anthocyanin [M+]|Coumaroylated Anthocyanidin Gloucoside|3-(Coum-Rha-Glc)-5-Glc-Petunidin	BXEZTCOKOLHMKY	Tags Missing	Add Tags					food	food_source_plant														
56166	CCMSLIB00000222422	Massbank:PB006007 Sinapine|2-[(E)-3-(4-hydroxy-3,5-dimethoxyphenyl)prop-2-enoyl]oxyethyl-trimethylazanium	HUJXHFRXWWGYQH	Tags Present	Check Current Tags and Add if Incomplete																	food|naturalproduct_plant|plant			food consumption
340659	CCMSLIB00003585029	1,2-dioleoyl-sn-glycero-3-phosphatidylcholine	SNKAWJBJQDLSFF	Tags Missing	Add Tags																				
338626	CCMSLIB00003268318	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
331998	CCMSLIB00003268296	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
331654	CCMSLIB00003268411	1-Oleoyl-2-palmitoyl-sn-glycero-3-phosphocholine	RRVPPYNAZJRZFR	Tags Missing	Add Tags																				
338850	CCMSLIB00003136628	Spectral Match to 1-Hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	WTJKGGKOPKCXLL		Tags Missing	Add Tags																
69648	CCMSLIB00003200881	Melibiose	AYRXSINWFIIFAE	Tags Missing	Add Tags																				
338801	CCMSLIB00003268315	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
338545	CCMSLIB00003268175	1,2-Dilinoleoyl-sn-glycero-3-phosphocholine	FVXDQWZBHIXIEJ	Tags Present	Check Current Tags and Add if Incomplete																	naturalproduct			
332158	CCMSLIB00003268296	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
22356	CCMSLIB00003236267	Medicarpin	NSRJSISNDPOJOP	Tags Present	Check Current Tags and Add if Incomplete																	food			
211747	CCMSLIB00003236367	Isoquercitin	OVSQVDMCBVZWGM	Tags Present	Check Current Tags and Add if Incomplete																	food			
338566	CCMSLIB00003268175	1,2-Dilinoleoyl-sn-glycero-3-phosphocholine	FVXDQWZBHIXIEJ	Tags Present	Check Current Tags and Add if Incomplete																	naturalproduct			
331475	CCMSLIB00003268296	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
340558	CCMSLIB00003585028	1,2-dioleoyl-sn-glycero-3-phosphatidylcholine	SNKAWJBJQDLSFF	Tags Missing	Add Tags																				
338678	CCMSLIB00003268175	1,2-Dilinoleoyl-sn-glycero-3-phosphocholine	FVXDQWZBHIXIEJ	Tags Present	Check Current Tags and Add if Incomplete																	naturalproduct			
253555	CCMSLIB00003137752	Spectral Match to 6''-O-Malonylglycitin from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	OWMHCYFEIJPHFB		Tags Present	Check Current Tags and Add if Incomplete													food			
331268	CCMSLIB00003136135	Spectral Match to 1-Hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	WTJKGGKOPKCXLL		Tags Missing	Add Tags																
331631	CCMSLIB00003268296	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
1783	CCMSLIB00000214467	Massbank:FIO00570 Caffeine	RYYVLZVUVIJVGH	Tags Present	Check Current Tags and Add if Incomplete																	food|MS_internal_standard			
331893	CCMSLIB00003268296	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
338923	CCMSLIB00003268315	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
187617	CCMSLIB00003136357	Spectral Match to Genistin from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	ZCOLJUOHXJRHDI		Tags Present	Check Current Tags and Add if Incomplete													food			food consumption_soy
331606	CCMSLIB00003268296	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
340272	CCMSLIB00003585028	1,2-dioleoyl-sn-glycero-3-phosphatidylcholine	SNKAWJBJQDLSFF	Tags Missing	Add Tags																				
340715	CCMSLIB00003585029	1,2-dioleoyl-sn-glycero-3-phosphatidylcholine	SNKAWJBJQDLSFF	Tags Missing	Add Tags																				
112057	CCMSLIB00003644602	Melibiose	AYRXSINWFIIFAE	Tags Missing	Add Tags																				
331537	CCMSLIB00003268296	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
338652	CCMSLIB00003268175	1,2-Dilinoleoyl-sn-glycero-3-phosphocholine	FVXDQWZBHIXIEJ	Tags Present	Check Current Tags and Add if Incomplete																	naturalproduct			
54409	CCMSLIB00000848580	NCGC00015645-08!N-[(4-hydroxy-3-methoxyphenyl)methyl]-8-methylnonanamide	XJQPQKLURWNAAH	Tags Present	Check Current Tags and Add if Incomplete																	food			food consumption_spices
36890	CCMSLIB00000223090	Massbank:PR100263 (+)-Epicatechin|EpCt-pl|ent-Epicatechin|Epicatechol|(+)-3,3',4',5,7-Pentahydroxyflavan	PFTAWBLQPZVEMU	Tags Present	Check Current Tags and Add if Incomplete																	food			food consumption_cocoa|food consumption_pome fruits|food consumption_tea
338759	CCMSLIB00003268315	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
331494	CCMSLIB00003268296	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
338827	CCMSLIB00003268175	1,2-Dilinoleoyl-sn-glycero-3-phosphocholine	FVXDQWZBHIXIEJ	Tags Present	Check Current Tags and Add if Incomplete																	naturalproduct			
36875	CCMSLIB00003138056	Spectral Match to (-)-Epicatechin from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	PFTAWBLQPZVEMU		Tags Present	Check Current Tags and Add if Incomplete													food			food consumption_cocoa|food consumption_pome fruits|food consumption_tea
338688	CCMSLIB00003135157	Spectral Match to 1,2-Dilinoleoyl-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	FVXDQWZBHIXIEJ		Tags Present	Check Current Tags and Add if Incomplete													naturalproduct			
331440	CCMSLIB00003268296	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
271760	CCMSLIB00000848930	NCGC00385085-01!5,7-dihydroxy-2-(4-hydroxyphenyl)-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2S,3R,4S,5S)-3,4,5-trihydroxyoxan-2-yl]oxymethyl]oxan-2-yl]oxychromen-4-one	YJPZWZRYHLEDNA	Tags Missing	Add Tags																				
331761	CCMSLIB00003268296	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
197811	CCMSLIB00004721230	FOLIC ACID	OVBPIULPVIDEAO	Tags Present	Check Current Tags and Add if Incomplete																	food|vitamin			
340929	CCMSLIB00003585029	1,2-dioleoyl-sn-glycero-3-phosphatidylcholine	SNKAWJBJQDLSFF	Tags Missing	Add Tags																				
331519	CCMSLIB00003268296	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
187615	CCMSLIB00003236812	Peonidin 3-arabinoside cation	KGHFAKPGOXLHAB	Tags Missing	Add Tags																				
338579	CCMSLIB00003268315	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
338821	CCMSLIB00003268176	1,2-Dilinoleoyl-sn-glycero-3-phosphocholine	FVXDQWZBHIXIEJ	Tags Present	Check Current Tags and Add if Incomplete																	naturalproduct			
